# ----------------------------------------
# seller.ozon.ru All data
# Partners
# 20220201-20220602
# ----------------------------------------

Целевая страница,Месяц года,Год,День месяца,Уникальные просмотры страниц
/partners/,05,2022,27,927
/partners/newbeautybox/,03,2022,01,175
/partners,04,2022,28,174
/partners/newbeautybox/,03,2022,28,91
/partners/newbeautybox/,03,2022,29,91
/partners/gostest/,05,2022,31,44
/partners/newbeautybox/,04,2022,01,44
/partners/?service=5,05,2022,26,24
/partners/adapter/,04,2022,14,24
/partners/gostest/,04,2022,08,24
/partners/gostest/,04,2022,17,24
/partners,03,2022,06,23
/partners/newbeautybox/?xnpe_tifc=4dblbuo7xknDbD1JbIh.OMpWhFWAbMPghMncVYBXVuiNhfpWaZ8ZEMX74IVJhfPsxde.buY7h.U_,02,2022,12,21
/partners/vektor-m/,02,2022,09,21
/partners,03,2022,12,20
/partners/boxberry/?xnpe_tifc=Of4NOIsLh.bJ4.Us4D_8xypWhFW_EMxd4.bDnFYdxZ8.adJSOIsu4uYJxko7OILsh.nJhzTT,03,2022,28,16
/partners/brandplacer/,04,2022,26,16
/partners/onlajn-patent/?xnpe_tifc=OIsubdoXhFhLhun8OI4_bMpWhFWDbfpsVlB3bfQ8Vdict9PJrFo7bDBNhfH7x.oZhfoj4FbT,03,2022,28,1
/partners/onlajn-patent/?xnpe_tifc=OIVJ4fnZ4kHDOInl4DsN49pWhFWWauhvnyB6bM4sx.ncV9USxkU.4DhN4dUL4F_lhke_bnTT,03,2022,28,1
/partners/onlajn-patent/?xnpe_tifc=x.HX4fhLbIxd4.zdb.blx9pWhFWPEuecRdSd4I18OYBAbfs3t9PJrkoXbuHZhF1jbd4sxfbJb.1T,03,2022,28,1
/partners/onlajn-patent/?xnpe_tifc=xDhN4IxZhInJxDxdOIL.h9pWhFWvVuQsV_B3EMLsbdiAVkecqC8ZEMX84Fh.OIQu4DhLhFhsb.B.,03,2022,29,1
/partners/onlajn-patent/?xnpe_tifc=xDoXxk4_4knXxDQsbIPs4ypWhFWuRMLraoBAbfs3t9PJrkbdOfYZ4kYdbux8xkU.hIbT,03,2022,28,1
/partners/onlajn-patent/?xnpe_tifc=xdPLxIzdhfHX4DB_4.hu4ypWhFWJVue3VdAWqMU-ajP1hdJLRfXcbdiArFP.hIsuOIhu4fo8b.bJhF1T,03,2022,28,1
/partners/onlajn-patent/?xnpe_tifc=xkPuxk4sh.hN4.4.h.bDbMpWhFWWauhvnkeAhGJAbMPghMncV9US4I1lbI_jbDV7xD_DxFzZ4nTT,03,2022,29,1
/partners/onlajn-patent/?xnpe_tifc=xkPuxk4sh.hN4.4.h.bDbMpWhFWWauhvnkeAhGJAbMPghMncV9US4I1lbI_jbDV7xD_DxFzZ4nTT,03,2022,30,1
/partners/onlajn-patent/?xnpe_tifc=xuPNOF4LxdPNhkYJOkol4jpWhFWchfJLa.YZnkJLRfXcV9USbfPLxFhuhIE_xDe.bunDOnTT,03,2022,28,1
/partners/rich-content/?xnpe_tifc=OIBu4fnZxDYl4D_7xFPubjpWhFWlb_BAbfJsEkScV9US4kbl4FLLxFVJhIzdxDU.h1TT,02,2022,16,1
/partners/rich-content/?xnpe_tifc=xDeN4.xjh.sL4F_DxuYXhMpWhFWLafsDRkUcRf81VusltfEZajUXt9PJrFHX4k4NxkH8OI_7Ofod4unT,02,2022,01,1
/partners/richcontentozon/,02,2022,17,1
/partners/richcontentozon/,02,2022,26,1
/partners/richcontentozon/,04,2022,12,1
/partners/richcontentozon/,04,2022,19,1
/partners/xway/,05,2022,30,1
/partners/xway/,06,2022,01,1
/partners/xway/,06,2022,02,1
